puckdrop	decision	goals against	shots against	saves	save %
2015-11-30	W	0	24	24	1.000
2015-12-02	L	6	35	29	.829
2015-12-05	W	1	28	27	.964
2015-12-08	W	2	27	25	.926
2015-12-17		2	15	13	.867
2016-02-29	L	2	28	26	.929
2016-03-03	L	2	22	20	.909
2016-03-07	O	3	27	24	.889
2016-03-09	W	3	27	24	.889
2016-03-12	L	4	17	13	.765
2016-03-19	W	1	21	20	.952
2016-03-24	W	5	38	33	.868
2016-03-28	L	3	18	15	.833
2016-03-31	L	3	36	33	.917
2016-04-02	L	3	26	23	.885
2016-04-06	L	5	32	27	.844
2016-04-09	L	4	35	31	.886
2018-10-07	W	6	31	25	.806
2018-10-15	W	1	34	33	.971
2018-11-10	L	5	34	29	.853
2018-11-16	W	1	39	38	.974
2018-11-24	W	0	34	34	1.000
2018-12-06	O	5	32	27	.844
2018-12-08		0	4	4	1.000
2018-12-23	W	4	30	26	.867
2018-12-28	W	2	29	27	.931
2018-12-29	L	4	28	24	.857
2019-01-18	L	2	28	26	.929
2019-02-02	W	2	30	28	.933
2019-02-10	L	3	29	26	.897
2019-02-28	L	6	37	31	.838
2019-03-11		2	23	21	.913
2019-03-13	L	1	25	24	.960
2019-03-16	L	6	44	38	.864
2019-03-20	W	2	24	22	.917
2019-03-30	L	3	21	18	.857
2019-04-02	L	3	36	33	.917
2019-10-25		2	14	12	.857
2021-12-19	W	2	35	33	.943
2021-12-28		1	12	11	.917
